,
1,1978425
2,2042176
3,1893646
4,1812965
5,1808771
6,1748370
7,1645290
8,1523088
9,1368108
10,1308303
11,1165647
12,1032395
13,993525
14,1023632
15,1039776
16,1087120
17,1079049
18,1078797
19,1190531
20,1355507
21,1498294
22,1723111
23,1902719
24,2131614
25,2271954
26,2424740
27,2595652
28,2689942
29,2746988
30,2774693
31,2815144
32,2845905
33,2843018
34,2826938
35,2746637
36,2675879
37,2580900
38,2606349
39,2512710
40,2454430
41,2321294
42,2262240
43,2211351
44,2271496
45,2313148
46,2333679
47,2455207
48,2486202
49,2388603
50,2256174
51,2066183
52,1978452
