Stock Hydraulique 2023,
,
Semaine,Stock (MWh)
1,2327857
2,2347129
3,2331058
4,1860943
5,1741224
6,1548596
7,1489626
8,1443310
9,1343353
10,1351720
11,1437424
12,1480070
13,1508365
14,1512237
15,1545065
16,1579550
17,1591705
18,1737740
19,1952971
20,2051871
21,2200163
22,2404082
23,2579634
24,2708825
25,2827813
26,2932525
27,2965488
28,3007664
29,3013784
30,3000966
31,2985265
32,2933071
33,2870892
34,2829706
35,2898999
36,2865844
37,2818485
38,2809675
39,2776356
40,2705939
41,2613447
42,2620085
43,2730776
44,2856838
45,2847567
46,2978309
47,2932723
48,2883329
49,2789836
50,2806027
51,2761956
52,2795844
