,
1,2407326
2,2081829
3,1924342
4,1772556
5,1859154
6,1726279
7,1533892
8,1515570
9,1386764
10,1176034
11,1154107
12,994654
13,961615
14,998746
15,917246
16,874649
17,940614
18,1047965
19,1231647
20,1413451
21,1509465
22,1628356
23,1803076
24,2002076
25,2183321
26,2310252
27,2349488
28,2463983
29,2538196
30,2549423
31,2607829
32,2658935
33,2655591
34,2612909
35,2537592
36,2471418
37,2394175
38,2361161
39,2330764
40,2373290
41,2385992
42,2356588
43,2291919
44,2349925
45,2344289
46,2216776
47,2119853
48,2024972
49,2059628
50,2010670
51,1928190
52,2029801
