,
1,2186488
2,2055622
3,1931241
4,1750281
5,1591274
6,1474810
7,1446619
8,1319494
9,1227480
10,1161979
11,1157528
12,1135050
13,1064149
14,984486
15,932025
16,921232
17,1004280
18,1112875
19,1130279
20,1254728
21,1324928
22,1481998
23,1701147
24,1959725
25,2172242
26,2394994
27,2572658
28,2673159
29,2690219
30,2697155
31,2742271
32,2749841
33,2762882
34,2777986
35,2760250
36,2718854
38,2689334
39,2650572
40,2648638
41,2625151
42,2649054
43,2771196
44,2851394
45,2986771
46,2954760
47,2792032
48,2815568
49,2815166
50,2657645
51,2652638
52,2804309
