,
1,1577489
2,1719409
3,1660658
4,1704964
5,1639471
6,1416974
7,1194343
8,1101070
9,812004
10,665128
11,703526
12,643391
13,586044
14,597380
15,616931
16,642271
17,811033
18,1002365
19,1101932
20,1327826
21,1497111
22,1791003
23,2062657
24,2343672
25,2562038
26,2685251
27,2829080
28,2807415
29,2788177
30,2800440
31,2817640
32,2837239
33,2869444
34,2837907
35,2778684
36,2718547
37,2678886
38,2632172
39,2588940
40,2533385
41,2476781
42,2504641
43,2474033
44,2418967
45,2457273
46,2472229
47,2331922
48,2227100
49,2232914
50,2230364
51,2085932
52,2164121
