Semaine,Volume (MWh),Année
28,2462110,2022
29,2382772,2022
30,2312574,2022
31,2274044,2022
32,2280964,2022
33,2249940,2022
34,2250959,2022
35,2244154,2022
36,2240533,2022
37,2252727,2022
38,2254828,2022
39,2253974,2022
40,2313405,2022
41,2320864,2022
42,2315468,2022
43,2419163,2022
44,2455704,2022
45,2495545,2022
46,2499746,2022
47,2518920,2022
48,2462887,2022
49,2374305,2022
50,2190805,2022
51,2142607,2022
52,2284112,2022
,,2019
Semaine,Stock (MWh),2019
1,2186488,2019
2,2055622,2019
3,1931241,2019
4,1750281,2019
5,1591274,2019
6,1474810,2019
7,1446619,2019
8,1319494,2019
9,1227480,2019
10,1161979,2019
11,1157528,2019
12,1135050,2019
13,1064149,2019
14,984486,2019
15,932025,2019
16,921232,2019
17,1004280,2019
18,1112875,2019
19,1130279,2019
20,1254728,2019
21,1324928,2019
22,1481998,2019
23,1701147,2019
24,1959725,2019
25,2172242,2019
26,2394994,2019
27,2572658,2019
28,2673159,2019
29,2690219,2019
30,2697155,2019
31,2742271,2019
32,2749841,2019
33,2762882,2019
34,2777986,2019
35,2760250,2019
36,2718854,2019
38,2689334,2019
39,2650572,2019
40,2648638,2019
41,2625151,2019
42,2649054,2019
43,2771196,2019
44,2851394,2019
45,2986771,2019
46,2954760,2019
47,2792032,2019
48,2815568,2019
49,2815166,2019
50,2657645,2019
51,2652638,2019
52,2804309,2019
,,2023
Semaine,Stock (MWh),2023
1,2327857,2023
2,2347129,2023
3,2331058,2023
4,1860943,2023
5,1741224,2023
6,1548596,2023
7,1489626,2023
8,1443310,2023
9,1343353,2023
10,1351720,2023
11,1437424,2023
12,1480070,2023
13,1508365,2023
14,1512237,2023
15,1545065,2023
16,1579550,2023
17,1591705,2023
18,1737740,2023
19,1952971,2023
20,2051871,2023
21,2200163,2023
22,2404082,2023
23,2579634,2023
24,2708825,2023
25,2827813,2023
26,2932525,2023
27,2965488,2023
28,3007664,2023
29,3013784,2023
30,3000966,2023
31,2985265,2023
32,2933071,2023
33,2870892,2023
34,2829706,2023
35,2898999,2023
36,2865844,2023
37,2818485,2023
38,2809675,2023
39,2776356,2023
40,2705939,2023
41,2613447,2023
42,2620085,2023
43,2730776,2023
44,2856838,2023
45,2847567,2023
46,2978309,2023
47,2932723,2023
48,2883329,2023
49,2789836,2023
50,2806027,2023
51,2761956,2023
52,2795844,2023
